timestamp,aqius,main_pollutant,temp,humidity
2025-04-16T10:00:00.000Z,155,p2,29,84
2025-04-16T11:00:00.000Z,128,p2,28,94
2025-04-16T12:00:00.000Z,128,p2,28,89
2025-04-16T13:00:00.000Z,126,p2,28,89
2025-04-16T14:00:00.000Z,128,p2,29,84
2025-04-16T15:00:00.000Z,130,p2,29,84
2025-04-16T16:00:00.000Z,133,p2,29,84
2025-04-16T17:00:00.000Z,128,p2,27,100
2025-04-16T18:00:00.000Z,125,p2,27,100
2025-04-16T19:00:00.000Z,74,p2,26,100
2025-04-16T20:00:00.000Z,108,p2,26,100
2025-04-16T21:00:00.000Z,101,p2,26,100
2025-04-16T22:00:00.000Z,95,p2,26,100
2025-04-16T23:00:00.000Z,97,p2,26,100
2025-04-17T00:00:00.000Z,120,p2,26,100
2025-04-17T02:00:00.000Z,101,p2,28,89
2025-04-17T03:00:00.000Z,66,p2,29,84
2025-04-17T04:00:00.000Z,93,p2,30,79
2025-04-17T05:00:00.000Z,111,p2,31,70
2025-04-17T06:00:00.000Z,99,p2,32,66
2025-04-17T07:00:00.000Z,106,p2,31,70
2025-04-17T08:00:00.000Z,114,p2,32,66
2025-04-17T09:00:00.000Z,104,p2,31,74
2025-04-17T10:00:00.000Z,99,p2,30,79
2025-04-17T11:00:00.000Z,64,p2,27,83
2025-04-17T12:00:00.000Z,77,p2,27,94
2025-04-17T13:00:00.000Z,86,p2,27,94
2025-04-17T14:00:00.000Z,89,p2,26,94
